拍品类别,价值,价值
三版币,"(0, 50]",7821
三版币,"(50, 100]",27951
三版币,"(100, 500]",209615
三版币,"(500, 1000]",254507
三版币,"(1000, 2000]",263406
三版币,"(2000, 5000]",549835
三版币,"(5000, 10000]",413490
三版币,"(10000, 20000]",379280
三版币,"(20000, 50000]",721380
三版币,"(50000, 200000]",642400
二版币,"(0, 50]",1406
二版币,"(50, 100]",6521
二版币,"(100, 500]",141440
二版币,"(500, 1000]",136785
二版币,"(1000, 2000]",265485
二版币,"(2000, 5000]",555060
二版币,"(5000, 10000]",613030
二版币,"(10000, 20000]",783420
二版币,"(20000, 50000]",919160
二版币,"(50000, 200000]",2141700
四版币,"(0, 50]",2676
四版币,"(50, 100]",9917
四版币,"(100, 500]",98243
四版币,"(500, 1000]",44957
四版币,"(1000, 2000]",43450
四版币,"(2000, 5000]",201685
四版币,"(5000, 10000]",223190
四版币,"(10000, 20000]",100210
四版币,"(20000, 50000]",107360
四版币,"(50000, 200000]",272800
新中国流通币,"(0, 50]",5252
新中国流通币,"(50, 100]",35301
新中国流通币,"(100, 500]",133188
新中国流通币,"(500, 1000]",41498
新中国流通币,"(1000, 2000]",31720
新中国流通币,"(2000, 5000]",56020
新中国流通币,"(5000, 10000]",93985
新中国流通币,"(10000, 20000]",21275
新中国流通币,"(20000, 50000]",0
新中国流通币,"(50000, 200000]",0
新中国纪念章,"(0, 50]",4936
新中国纪念章,"(50, 100]",16827
新中国纪念章,"(100, 500]",51181
新中国纪念章,"(500, 1000]",20614
新中国纪念章,"(1000, 2000]",11110
新中国纪念章,"(2000, 5000]",17820
新中国纪念章,"(5000, 10000]",16390
新中国纪念章,"(10000, 20000]",0
新中国纪念章,"(20000, 50000]",0
新中国纪念章,"(50000, 200000]",0
新中国金银币,"(0, 50]",708
新中国金银币,"(50, 100]",2809
新中国金银币,"(100, 500]",74026
新中国金银币,"(500, 1000]",71290
新中国金银币,"(1000, 2000]",76519
新中国金银币,"(2000, 5000]",118222
新中国金银币,"(5000, 10000]",102392
新中国金银币,"(10000, 20000]",246958
新中国金银币,"(20000, 50000]",404716
新中国金银币,"(50000, 200000]",830330
民国硬币,"(0, 50]",12607
民国硬币,"(50, 100]",41025
民国硬币,"(100, 500]",178427
民国硬币,"(500, 1000]",120153
民国硬币,"(1000, 2000]",182091
民国硬币,"(2000, 5000]",145530
民国硬币,"(5000, 10000]",119680
民国硬币,"(10000, 20000]",41690
民国硬币,"(20000, 50000]",41800
民国硬币,"(50000, 200000]",0
﻿一版币,"(0, 50]",0
﻿一版币,"(50, 100]",341
﻿一版币,"(100, 500]",45820
﻿一版币,"(500, 1000]",136697
﻿一版币,"(1000, 2000]",403700
﻿一版币,"(2000, 5000]",999460
﻿一版币,"(5000, 10000]",557810
﻿一版币,"(10000, 20000]",307560
﻿一版币,"(20000, 50000]",476300
﻿一版币,"(50000, 200000]",760980
